month,duration,pdays,cons.conf.idx,euribor3m,nr.employed
4,329,999,-36.1,4.967,5228.1
1,98,999,-36.4,4.857,5191.0
4,1206,999,-36.1,4.966,5228.1
1,88,999,-46.2,1.344,5099.1
3,107,999,-42.7,4.962,5228.1
1,33,999,-46.2,1.244,5099.1
3,80,999,-42.7,4.961,5228.1
6,97,999,-42.0,4.1530000000000005,5195.8
6,154,999,-42.0,4.12,5195.8
1,300,999,-46.2,1.281,5099.1
1,170,999,-36.4,4.856,5191.0
1,735,999,-36.4,4.86,5191.0
3,204,999,-42.7,4.962,5228.1
4,618,999,-36.1,4.963,5228.1
1,519,999,-46.2,1.334,5099.1
4,508,999,-36.1,4.9639999999999995,5228.1
1,208,999,-46.2,1.291,5099.1
1,324,999,-46.2,1.327,5099.1
4,83,999,-36.1,4.9639999999999995,5228.1
1,872,999,-36.4,4.8580000000000005,5191.0
3,92,999,-42.7,4.962,5228.1
3,104,999,-42.7,4.961,5228.1
4,796,999,-36.1,4.966,5228.1
4,106,999,-36.1,4.965,5228.1
4,117,999,-36.1,4.965,5228.1
6,55,999,-42.0,4.191,5195.8
1,148,999,-36.4,4.86,5191.0
1,267,999,-46.2,1.3130000000000002,5099.1
6,124,999,-42.0,4.191,5195.8
1,19,999,-46.2,1.266,5099.1
9,365,999,-47.1,1.405,5099.1
6,173,999,-42.0,4.021,5195.8
9,130,999,-47.1,1.405,5099.1
4,824,999,-36.1,4.963,5228.1
4,417,999,-36.1,4.966,5228.1
1,233,999,-46.2,1.344,5099.1
1,274,999,-46.2,1.334,5099.1
8,228,999,-34.8,0.655,5008.7
4,210,999,-36.1,4.963,5228.1
1,461,999,-36.4,4.855,5191.0
2,295,999,-41.8,4.962,5228.1
1,195,999,-36.4,4.856,5191.0
5,125,999,-40.4,4.86,5195.8
1,103,999,-36.4,4.859,5191.0
5,491,6,-49.5,0.987,4963.6
3,94,999,-42.7,4.963,5228.1
3,205,999,-42.7,4.96,5228.1
1,197,999,-46.2,1.327,5099.1
1,123,999,-36.4,4.856,5191.0
2,651,999,-41.8,4.958,5228.1
3,43,999,-42.7,4.962,5228.1
1,397,999,-46.2,1.327,5099.1
5,166,6,-26.9,0.74,5017.5
1,392,999,-36.4,4.857,5191.0
1,160,999,-46.2,1.25,5099.1
10,510,999,-29.8,0.797,5017.5
2,453,999,-41.8,4.962,5228.1
2,151,999,-41.8,4.967,5228.1
4,435,999,-36.1,4.963,5228.1
